t,x,v
1.83,-0.37271,-1.19184
1.84,-0.366443,-0.843772
1.85,-0.270802,-0.967767
1.86,-0.192298,-1.02366
1.87,-0.324272,-0.882404
1.88,-0.206288,-0.987085
1.89,-0.359254,-0.96956
1.9,-0.344813,-1.05784
1.91,-0.405398,-0.989194
1.92,-0.266548,-0.849652
1.93,-0.502273,-0.850345
1.94,-0.423995,-1.05371
1.95,-0.278255,-0.844197
1.96,-0.333235,-0.869846
1.97,-0.528781,-0.798053
1.98,-0.375958,-1.00273
1.99,-0.428913,-0.869551
2,-0.266052,-0.927007
2.01,-0.279136,-0.817991
2.02,-0.409703,-1.02346
2.03,-0.397611,-0.880445
2.04,-0.377351,-0.910231
2.05,-0.477835,-0.891697
2.06,-0.540065,-1.00319
2.07,-0.555362,-0.935669
2.08,-0.582058,-0.938706
2.09,-0.495745,-1.03183
2.1,-0.540914,-0.785744
2.11,-0.432257,-0.860272
2.12,-0.35073,-0.848505
2.13,-0.442919,-0.814357
2.14,-0.603417,-0.774159
2.15,-0.404212,-0.78242
2.16,-0.45504,-0.708582
2.17,-0.628256,-0.822009
2.18,-0.748071,-0.734526
2.19,-0.556862,-0.753312
2.2,-0.628352,-0.806869
2.21,-0.529212,-0.832147
2.22,-0.68369,-0.730653
2.23,-0.532701,-0.812985
2.24,-0.574148,-0.905025
2.25,-0.791678,-0.720746
2.26,-0.609644,-0.745252
2.27,-0.583499,-0.922194
2.28,-0.815313,-0.730796
2.29,-0.625945,-0.74797
2.3,-0.752772,-0.717299
2.31,-0.517308,-0.996506
2.32,-0.715672,-0.758727
2.33,-0.714868,-0.68878
2.34,-0.628694,-0.486452
2.35,-0.477481,-0.676841
2.36,-0.605252,-0.535426
2.37,-0.662371,-0.597442
2.38,-0.880454,-0.725623
2.39,-0.640518,-0.659642
2.4,-0.658454,-0.680733
2.41,-0.772486,-0.752315
2.42,-0.669954,-0.630359
2.43,-0.630421,-0.494114
2.44,-0.677455,-0.479389
2.45,-0.551062,-0.468429
2.46,-0.773518,-0.631625
2.47,-0.743202,-0.581956
2.48,-0.855612,-0.856855
2.49,-0.873593,-0.663573
2.5,-0.893243,-0.71296
2.51,-0.863297,-0.630394
2.52,-0.935331,-0.650684
2.53,-0.757864,-0.49081
2.54,-0.913675,-0.460131
2.55,-0.818989,-0.514633
2.56,-0.862441,-0.552103
2.57,-0.881155,-0.710059
2.58,-1.02858,-0.619542
2.59,-0.836598,-0.675542
2.6,-0.831059,-0.583332
2.61,-0.839992,-0.529252
2.62,-1.04661,-0.355955
2.63,-0.943406,-0.439195
2.64,-0.982645,-0.3952
2.65,-0.930854,-0.611759
2.66,-0.976821,-0.459034
2.67,-0.916579,-0.548858
2.68,-1.02154,-0.670416
2.69,-0.935855,-0.540448
2.7,-1.00765,-0.489854
2.71,-0.830182,-0.486332
2.72,-0.9316,-0.210873
2.73,-0.997457,-0.495048
2.74,-1.04932,-0.338581
2.75,-0.860398,-0.342222
2.76,-1.03814,-0.514316
2.77,-0.930669,-0.423917
2.78,-1.15823,-0.393764
2.79,-1.08232,-0.375289
2.8,-0.951682,-0.447047
2.81,-0.8957,-0.417012
2.82,-0.943508,-0.215616
2.83,-0.946658,-0.173038
2.84,-0.960131,-0.100998
2.85,-0.954725,-0.256453
2.86,-1.04786,-0.348845
2.87,-0.935617,-0.221863
2.88,-1.0459,-0.294846
2.89,-0.98146,-0.182394
2.9,-0.82902,-0.437283
2.91,-0.970335,-0.179567
2.92,-0.955029,-0.14083
2.93,-1.20941,-0.302582
2.94,-0.935863,-0.253549
2.95,-0.985917,-0.164148
2.96,-0.958344,-0.166941
2.97,-0.982615,-0.0700423
2.98,-0.937729,-0.103373
2.99,-0.981072,-0.0972962
3,-0.830905,-0.143577
3.01,-0.933972,0.0107879
3.02,-1.01281,0.0273834
3.03,-0.856512,-0.207222
3.04,-0.772394,-0.0737352
3.05,-0.999127,-0.273476
3.06,-1.13342,-0.0616352
3.07,-0.895897,-0.0659304
3.08,-1.08115,0.108604
3.09,-0.905443,-0.0582997
3.1,-1.01415,-0.0477291
3.11,-1.05671,0.0222407
3.12,-0.923736,0.0218636
3.13,-0.978423,0.0727722
3.14,-0.965873,-0.0240917
3.15,-1.10531,0.161304
3.16,-0.892187,0.129091
3.17,-1.08839,-0.15655
3.18,-0.998758,0.0765262
3.19,-1.02669,-0.0638033
3.2,-1.10376,0.0259416
3.21,-0.796647,-0.0260739
3.22,-0.931766,-0.00716503
3.23,-1.07013,0.15189
3.24,-0.945953,0.13325
3.25,-1.05586,-0.1186
3.26,-0.99741,0.106989
3.27,-1.22472,0.25401
3.28,-1.06667,0.0847392
3.29,-1.09045,0.18197
3.3,-0.943613,0.0395073
3.31,-1.15001,0.299781
3.32,-1.02017,0.220765
3.33,-1.03385,0.145341
3.34,-1.09844,0.0938836
3.35,-1.02852,0.180439
3.36,-1.1803,0.282323
3.37,-1.09061,0.208318
3.38,-1.02459,0.0900112
3.39,-1.06105,0.210729
3.4,-0.894506,0.265319
3.41,-1.14539,0.201704
3.42,-0.987686,0.284367
3.43,-1.04173,0.0335917
3.44,-0.928885,0.209634
3.45,-1.10298,0.440232
3.46,-0.876311,0.389108
3.47,-0.756273,0.329638
3.48,-0.881278,0.186119
3.49,-0.716229,0.236293
3.5,-0.963041,0.260526
3.51,-1.11307,0.507776
3.52,-0.94765,0.25711
3.53,-0.995762,0.468825
3.54,-0.941583,0.338539
3.55,-1.13056,0.345416
3.56,-1.08805,0.292215
3.57,-0.850181,0.540538
3.58,-0.850392,0.36699
3.59,-0.945921,0.500607
3.6,-0.831241,0.461978
3.61,-0.838539,0.376154
3.62,-0.871765,0.396034
3.63,-0.866249,0.242481
3.64,-0.770248,0.623351
3.65,-0.738843,0.515624
3.66,-0.85999,0.423182
3.67,-0.882537,0.469564
3.68,-0.906136,0.498992
3.69,-0.774813,0.448329
3.7,-0.81885,0.509307
3.71,-1.06034,0.639084
3.72,-0.670926,0.636184
3.73,-0.836461,0.568442
3.74,-0.831245,0.728509
3.75,-0.85518,0.515593
3.76,-0.909614,0.580448
3.77,-0.693594,0.63417
3.78,-0.718077,0.495141
3.79,-0.788013,0.5456
3.8,-0.76288,0.753738
3.81,-0.745668,0.656571
3.82,-0.731127,0.549941
3.83,-0.789997,0.578734
3.84,-0.73014,0.720237
3.85,-0.867732,0.706701
3.86,-0.66575,0.669794
3.87,-0.7488,0.803923
3.88,-0.797486,0.624785
3.89,-0.927315,0.794518
3.9,-0.751076,0.614816
3.91,-0.705515,0.663467
3.92,-0.558967,0.698489
3.93,-0.670069,0.821466
3.94,-0.670687,0.813468
3.95,-0.758229,0.730007
3.96,-0.78071,0.686839
3.97,-0.643853,0.885277
3.98,-0.647012,0.781799
3.99,-0.569355,0.698899
4,-0.474346,0.887161
4.01,-0.69801,0.76254
4.02,-0.798004,0.836944
4.03,-0.494941,0.899604
4.04,-0.61164,0.773072
4.05,-0.324351,0.783978
4.06,-0.561063,0.711494
4.07,-0.564383,0.876577
4.08,-0.475204,0.82465
4.09,-0.737955,0.760622
4.1,-0.686849,0.929376
4.11,-0.455185,0.717313
4.12,-0.529078,0.913514
4.13,-0.560565,0.756553
4.14,-0.345639,0.864158
4.15,-0.562006,0.927999
4.16,-0.427269,0.91313
4.17,-0.396502,0.733671
4.18,-0.684421,0.812492
4.19,-0.386193,0.885517
4.2,-0.351339,0.771117
4.21,-0.277956,0.980433
4.22,-0.561374,0.803678
4.23,-0.437338,0.869955
4.24,-0.458039,0.753652
4.25,-0.402282,0.680802
4.26,-0.463999,1.1563
4.27,-0.388259,1.0325
4.28,-0.536391,0.923268
4.29,-0.451833,1.07879
4.3,-0.253039,0.789882
4.31,-0.269995,0.956295
4.32,-0.334235,0.858007
4.33,-0.450163,0.860747
4.34,-0.425784,0.896429
4.35,-0.354813,1.08769
4.36,-0.284463,1.00795
4.37,-0.258324,1.16837
4.38,-0.211753,0.875586
4.39,-0.183804,0.971095
4.4,-0.189772,0.865518
4.41,-0.287844,0.978238
4.42,-0.290293,0.936775
4.43,-0.186592,1.03235
4.44,-0.258933,0.878258
4.45,-0.245312,1.07079
4.46,-0.202325,1.02568
4.47,-0.100935,0.746362
4.48,-0.343615,0.913523
4.49,-0.200873,0.929019
4.5,-0.0894528,0.923856
4.51,-0.0201012,1.06826
4.52,-0.307189,1.00069
4.53,-0.0613008,0.921743
4.54,-0.0824749,0.930474
4.55,-0.125284,1.07824
4.56,-0.0686667,0.759673
4.57,-0.0174508,1.11053
4.58,-0.178579,1.0805
4.59,-0.24446,0.902804
4.6,0.0307328,1.03608
4.61,-0.135905,1.05756
4.62,-0.139764,1.14028
4.63,0.0559397,1.01659
4.64,-0.0265907,1.10666
4.65,-0.0406727,1.01184
4.66,0.0362848,1.08399
4.67,0.117291,0.869087
4.68,-0.0564567,1.06721
4.69,0.0900027,0.894235
4.7,0.0168191,0.981841
4.71,-0.0193845,0.96341
4.72,0.0500423,1.247
4.73,0.0628457,0.766979
4.74,-0.103283,1.00662
4.75,0.114142,0.97098
4.76,0.138036,0.997441
4.77,0.180407,0.849721
4.78,-0.0608523,0.914634
4.79,0.173919,0.827237
4.8,0.0859918,1.03464
4.81,0.0883219,1.04458
4.82,0.063631,0.850579
4.83,0.295341,1.03359
4.84,0.220739,1.19447
4.85,0.315423,0.923049
4.86,0.11254,0.937558
4.87,0.0725203,0.897727
4.88,0.196675,0.972262
4.89,-0.0537832,0.963085
4.9,0.109124,0.939094
4.91,0.248082,1.1299
4.92,0.207087,0.988441
4.93,0.159501,1.1248
4.94,0.34031,1.06636
4.95,0.277024,1.00693
4.96,0.175321,1.01916
4.97,0.340106,1.00135
4.98,0.207017,0.981248
4.99,0.410273,0.860109
5,0.279484,1.05647
5.01,0.464139,1.04377
5.02,0.423643,0.985652
5.03,0.27786,1.11769
5.04,0.233314,0.834818
5.05,0.469407,1.06972
5.06,0.273816,0.987422
5.07,0.421072,1.01447
5.08,0.501281,1.00601
5.09,0.248143,0.914097
5.1,0.340911,0.945792
5.11,0.271663,0.813209
5.12,0.442533,1.01226
5.13,0.47272,0.83731
5.14,0.618334,0.743296
5.15,0.482842,0.808101
5.16,0.369182,0.946679
5.17,0.52568,0.912807
5.18,0.331722,0.939591
5.19,0.47915,0.970986
5.2,0.37911,0.798481
5.21,0.383247,1.02772
5.22,0.221893,0.877721
5.23,0.550548,0.998648
5.24,0.556091,0.725686
5.25,0.568881,0.63847
5.26,0.509701,0.736502
5.27,0.383034,0.931697
5.28,0.522698,0.974911
5.29,0.623283,0.758761
5.3,0.623335,0.774482
5.31,0.54435,0.902511
5.32,0.652995,0.785811
5.33,0.65686,0.876521
5.34,0.682394,0.840348
5.35,0.449796,0.877378
5.36,0.687915,0.97797
5.37,0.583719,0.635753
5.38,0.52993,0.96207
5.39,0.655336,0.901585
5.4,0.653584,0.869914
5.41,0.703774,0.782017
5.42,0.634592,0.865228
5.43,0.63707,0.805977
5.44,0.674128,0.932889
5.45,0.594858,0.806739
5.46,0.694276,0.674847
5.47,0.648114,0.722128
5.48,0.706813,0.736193
5.49,0.754243,0.827742
5.5,0.668932,0.760124
5.51,0.651562,0.558178
5.52,0.828578,0.767099
5.53,0.741558,0.787407
5.54,0.750376,0.628692
5.55,0.75457,0.612674
5.56,0.673757,0.595726
5.57,1.00917,0.565925
5.58,0.684357,0.791344
5.59,0.849405,0.65218
5.6,0.867436,0.690829
5.61,0.729546,0.631694
5.62,0.826933,0.481378
5.63,0.618576,0.64265
5.64,0.810029,0.488548
5.65,0.780268,0.475545
5.66,0.917094,0.397614
5.67,0.762974,0.488887
5.68,0.654575,0.651401
5.69,0.827981,0.354884
5.7,0.695767,0.463395
5.71,0.858319,0.548099
5.72,0.735613,0.60796
5.73,0.887395,0.662765
5.74,0.764253,0.43162
5.75,0.645379,0.370116
5.76,0.877215,0.540623
5.77,0.864405,0.532632
5.78,0.97917,0.58067
5.79,0.951873,0.526036
5.8,0.984303,0.590539
5.81,0.777035,0.419181
5.82,0.853031,0.488968
5.83,0.92364,0.575399
5.84,0.974894,0.384733
5.85,0.863872,0.31931
5.86,0.875849,0.363124
5.87,0.987232,0.392873
5.88,0.983684,0.380861
5.89,1.02421,0.37314
5.9,1.04697,0.0652835
5.91,0.958415,0.436091
5.92,1.08664,0.195772
5.93,0.878972,0.264846
5.94,0.815841,0.483006
5.95,0.840335,0.311784
5.96,0.796055,0.313926
5.97,0.818819,0.31354
5.98,0.857855,0.141426
5.99,0.786841,0.339185
6,1.0806,0.345101
6.01,0.774916,0.350605
6.02,1.00711,0.34034
6.03,0.995803,0.48909
6.04,0.952833,0.242512
6.05,1.07585,0.256537
6.06,1.0204,0.207404
6.07,0.982655,0.255476
6.08,0.86113,0.181413
6.09,1.0895,0.158525
6.1,0.931851,0.335731
6.11,0.959144,0.151679
6.12,0.947007,0.102645
6.13,1.04348,0.0307291
6.14,1.09666,0.0855398
6.15,0.934697,0.194558
6.16,0.9786,0.140854
6.17,1.11165,0.138901
6.18,0.796057,-0.033799
6.19,1.05061,0.202061
6.2,1.03765,0.134218
6.21,0.870422,0.116383
6.22,0.979768,0.228703
6.23,1.09418,0.023704
6.24,1.05792,-0.0797138
6.25,1.08914,0.29361
6.26,1.0633,-0.0508905
6.27,0.859322,0.047412
6.28,0.971675,-0.134945
6.29,0.856456,-0.0565985
6.3,0.972081,-0.219198
6.31,1.16466,-0.151732
6.32,1.01903,0.131929
6.33,0.936528,0.0298038
6.34,1.01033,0.0427446
6.35,1.0451,0.0402254
6.36,0.951288,-0.1187
6.37,1.06669,-0.0579301
6.38,1.09626,-0.0312552
6.39,1.05878,-0.232359
6.4,1.08027,-0.147602
6.41,0.873958,-0.370486
6.42,0.92191,-0.118232
6.43,0.794004,-0.0653366
6.44,1.13568,0.00972801
6.45,1.1082,-0.259547
6.46,1.00211,-0.167113
6.47,1.06087,-0.287014
6.48,1.19749,-0.226321
6.49,0.801911,-0.117014
6.5,1.05692,-0.284177
6.51,1.09911,-0.324899
6.52,0.90257,-0.224797
6.53,1.01183,-0.209054
6.54,1.19595,-0.25055
6.55,0.910892,-0.326956
6.56,0.94423,-0.312767
6.57,0.756337,-0.306287
6.58,1.04949,-0.42294
6.59,1.00025,-0.299411
6.6,0.918903,-0.331157
6.61,0.771961,-0.308944
6.62,0.894865,-0.134054
6.63,1.01961,-0.392355
6.64,1.08265,-0.439555
6.65,0.908331,-0.105267
6.66,1.0026,-0.394988
6.67,1.06443,-0.435154
6.68,0.925436,-0.460679
6.69,0.849282,-0.214329
6.7,1.04105,-0.513247
6.71,0.838646,-0.375821
6.72,0.795759,-0.201207
6.73,0.860188,-0.358545
6.74,0.812451,-0.532015
6.75,0.80324,-0.614697
6.76,0.91139,-0.508372
6.77,0.874657,-0.547084
6.78,0.854375,-0.454598
6.79,0.724359,-0.569246
6.8,0.938439,-0.311474
6.81,0.685534,-0.646048
6.82,0.872259,-0.599734
6.83,0.99879,-0.689345
6.84,0.821529,-0.515027
6.85,0.857994,-0.477536
6.86,0.823775,-0.661095
6.87,0.875078,-0.609718
6.88,0.72406,-0.408962
6.89,0.943266,-0.439967
6.9,0.970938,-0.442507
6.91,0.779413,-0.470616
6.92,0.842521,-0.416775
6.93,0.701353,-0.504996
6.94,0.778674,-0.726303
6.95,0.85699,-0.867745
6.96,0.592728,-0.846433
6.97,0.876596,-0.598075
6.98,0.697626,-0.489733
6.99,0.676988,-0.503533
7,0.844624,-0.559495
7.01,0.953183,-0.619456
7.02,0.807596,-0.787133
7.03,0.646879,-0.726184
7.04,0.51561,-0.481399
7.05,0.696231,-0.771903
7.06,0.67011,-0.543437
7.07,0.630703,-0.674775
7.08,0.710788,-0.561935
7.09,0.579219,-0.777019
7.1,0.705544,-0.723554
7.11,0.681112,-0.675143
7.12,0.470179,-0.568653
7.13,0.49587,-0.723362
7.14,0.546437,-0.72845
7.15,0.998634,-0.627676
7.16,0.534136,-0.671133
7.17,0.686927,-1.07665
7.18,0.57136,-0.786671
7.19,0.505879,-0.842359
7.2,0.616781,-0.97268
7.21,0.600811,-0.957234
7.22,0.583957,-0.811306
7.23,0.55518,-0.813435
7.24,0.582799,-0.854216
7.25,0.522338,-0.66252
7.26,0.627152,-0.69745
7.27,0.436641,-0.728779
7.28,0.456823,-0.812018
7.29,0.432392,-0.933076
7.3,0.563958,-0.798467
7.31,0.567097,-0.962159
7.32,0.575841,-0.729463
7.33,0.369111,-0.782121
7.34,0.205951,-0.982839
7.35,0.63558,-0.735407
7.36,0.575827,-0.823813
7.37,0.50695,-1.00922
7.38,0.433079,-0.92917
7.39,0.521629,-0.708207
7.4,0.629007,-0.966417
7.41,0.488229,-1.09277
7.42,0.493376,-0.81684
7.43,0.344955,-0.913708
7.44,0.302583,-0.9681
7.45,0.481791,-0.89239
7.46,0.580978,-0.768649
7.47,0.494846,-1.02386
7.48,0.124349,-0.99458
7.49,0.541553,-0.908406
7.5,0.11716,-0.997399
7.51,0.611726,-0.978476
7.52,0.468324,-0.941674
7.53,0.303624,-1.163
7.54,0.222801,-1.04229
7.55,0.257746,-0.979278
7.56,0.266524,-0.929298
7.57,0.200566,-1.04205
7.58,0.325258,-1.08313
7.59,0.302044,-0.953303
7.6,0.203035,-1.11196
7.61,0.0879597,-0.928834
7.62,0.191972,-0.836917
7.63,0.0532659,-0.879953
7.64,0.305857,-0.957147
7.65,0.10575,-0.990541
7.66,0.0701798,-1.01298
7.67,0.0964675,-0.93256
7.68,0.0536871,-0.87894
7.69,0.0263861,-1.00149
7.7,0.0417609,-0.89117
7.71,0.145207,-0.925331
7.72,0.15311,-0.986394
7.73,0.110131,-1.06699
7.74,0.168306,-0.884216
7.75,-0.00919807,-0.927945
7.76,0.0953078,-0.962174
7.77,0.225159,-0.913628
7.78,0.148621,-1.0377
7.79,0.128302,-0.916035
7.8,0.0999525,-0.922335
7.81,-0.0562667,-1.03855
7.82,0.106202,-0.898852
7.83,0.0742132,-0.937664
7.84,0.212124,-0.99671
7.85,0.167588,-1.20216
7.86,0.0340488,-1.00123
7.87,0.0716684,-1.08916
7.88,0.00768425,-0.96677
7.89,-0.150337,-1.1128
7.9,-0.0394459,-1.31249
7.91,-0.230064,-0.868106
7.92,0.139269,-0.828411
7.93,-0.102143,-1.00854
7.94,-0.133359,-1.1374
7.95,-0.0935065,-0.848681
7.96,-0.110089,-1.12136
7.97,-0.105087,-1.03342
7.98,-0.277473,-1.01121
7.99,-0.383665,-1.00988
8,-0.272142,-0.990619
8.01,-0.023392,-1.06035
8.02,-0.349017,-0.930519
8.03,-0.133538,-0.842596
8.04,-0.257768,-1.01524
8.05,-0.247137,-0.900466
8.06,-0.0572318,-0.927994
8.07,-0.310647,-0.985456
8.08,-0.225218,-1.05403
8.09,-0.200217,-0.720971
8.1,-0.178183,-1.15319
8.11,-0.22977,-1.02459
8.12,-0.288171,-0.950675
8.13,-0.3918,-1.09025
